EMPLOYER_CANONICAL,total_filings,mba_relevant_filings,certified,new_position_share,median_annual_wage,any_willful_violator,any_h1b_dependent,mba_share
"Tianyu Arts & Culture, Inc.",10,10,1.0,0.1,103105.6,False,False,1.0
Tishman Speyer Properties LP,10,10,0.9,0.8,100516.0,False,False,1.0
Woodline Partners LP,10,10,1.0,0.5,170000.0,False,False,1.0
"Tiger Analytics, Inc.",435,433,0.9954022988505747,0.6229885057471264,155000.0,False,False,0.9954022988505747
EVERCORE PARTNERS SERVICES EAST LLC,201,199,1.0,0.7562189054726368,185000.0,False,False,0.9900497512437811
CrossCountry Consulting LLC,69,68,1.0,0.2753623188405797,123000.0,False,False,0.9855072463768116
Moelis & Company Group LP,109,107,1.0,0.8165137614678899,175000.0,False,False,0.981651376146789
"Banco Santander, S.A. New York Branch",51,50,1.0,0.6666666666666666,155000.0,False,False,0.9803921568627451
Macias Gini & O'Connell LLP,42,41,1.0,0.4523809523809524,100000.0,False,False,0.9761904761904762
"Freyr,Inc.",39,38,1.0,0.07692307692307693,100000.0,False,False,0.9743589743589743
Mace North America Ltd,37,36,1.0,0.9459459459459459,142480.0,False,False,0.972972972972973
Newton Consulting Inc.,37,36,1.0,0.1891891891891892,69035.2,False,False,0.972972972972973
"BDO USA, P.C.",152,147,1.0,0.3618421052631579,116800.0,False,False,0.9671052631578947
Santander U.S. Capital Markets LLC,60,58,1.0,0.8333333333333334,165000.0,False,False,0.9666666666666667
Program Planning Professionals Inc,30,29,1.0,0.7666666666666667,80000.0,False,False,0.9666666666666667
CohnReznick Advisory LLC,79,76,1.0,0.4177215189873418,82609.5,False,False,0.9620253164556962
LEGO Construction Co.,26,25,1.0,0.2692307692307692,87311.0,False,False,0.9615384615384616
Rothschild & Co US Inc.,26,25,1.0,0.8846153846153846,175785.5,False,False,0.9615384615384616
Hisense USA Corporation,25,24,1.0,0.48,71952.0,False,False,0.96
SQUAREPOINT SERVICES US LLC,97,93,1.0,0.7010309278350515,175000.0,False,False,0.9587628865979382
Accordion Partners LLC,24,23,1.0,0.5,170000.0,False,False,0.9583333333333334
Macquarie Asset Management US Inc.,24,23,1.0,0.7083333333333334,,False,False,0.9583333333333334
Macquarie Holdings (USA) Inc.,94,90,1.0,0.43617021276595747,175000.0,False,False,0.9574468085106383
"Equity Methods, LLC",23,22,0.9565217391304348,0.6086956521739131,92500.0,False,False,0.9565217391304348
"Navillus Tile, Inc.",23,22,0.9130434782608695,0.7391304347826086,65400.0,False,False,0.9565217391304348
GIC Special Investments Pte. Ltd.,21,20,1.0,0.6190476190476191,180000.0,False,False,0.9523809523809523
KKR Credit Advisors (US) LLC,21,20,1.0,0.6190476190476191,200000.0,False,False,0.9523809523809523
"Global Infrastructure Management, LLC",20,19,1.0,0.55,150000.0,False,False,0.95
StepStone Group LP,20,19,1.0,0.45,115000.5,False,False,0.95
US Elogistics Service Corp,20,19,1.0,0.95,62327.0,False,False,0.95
WebBank,20,19,1.0,0.45,139250.0,False,False,0.95
Blue Matter Consulting LLC,38,36,1.0,0.868421052631579,140000.0,False,False,0.9473684210526315
"Sun Fresh International, LLC",19,18,1.0,0.47368421052631576,143000.0,False,False,0.9473684210526315
Redis Inc.,18,17,1.0,0.6111111111111112,191000.0,False,False,0.9444444444444444
"Turner & Townsend, Inc.",141,133,1.0,0.3829787234042553,140000.0,False,False,0.9432624113475178
"Alvarez & Marsal Private Equity Performance Improvement Group, LLC",35,33,1.0,0.37142857142857144,160000.0,False,False,0.9428571428571428
PwC US Business Advisory LLP,87,82,1.0,0.5402298850574713,174000.0,False,False,0.9425287356321839
ELogisTek LLC,17,16,1.0,0.7058823529411765,51584.0,False,False,0.9411764705882353
NY FAN TUAN INC.,17,16,1.0,0.7647058823529411,55200.0,False,False,0.9411764705882353
"Satterfield & Pontikes Construction, Inc.",17,16,1.0,0.8823529411764706,100797.0,False,False,0.9411764705882353
"Baker Tilly Advisory Group, LP",50,47,1.0,0.46,98050.0,False,False,0.94
"Nomura Securities International, Inc.",128,120,1.0,0.8046875,143923.0,False,False,0.9375
AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,32,30,1.0,0.34375,226455.94,False,False,0.9375
"FNS, INC.",32,30,1.0,0.5625,60000.0,False,False,0.9375
IFM Investors (US) LLC,32,30,1.0,0.375,201000.0,False,False,0.9375
Dhabawale LLC,16,15,1.0,1.0,,False,False,0.9375
"DigitalBridge Group Advisors, LLC",16,15,1.0,0.5625,144000.0,False,False,0.9375
Insight Venture Management LLC,16,15,1.0,0.5,200000.0,False,False,0.9375
"A.T. Kearney, Inc.",125,117,1.0,0.48,212000.0,False,False,0.936
"ROCKY MOUNTAIN INSTITUTE, INC.",61,57,1.0,0.3770491803278688,85170.0,False,False,0.9344262295081968
"Radix Trading, LLC",45,42,1.0,0.7333333333333333,175000.0,False,False,0.9333333333333333
Asterisk Green Inc.,15,14,0.9333333333333333,0.8666666666666667,184080.0,False,False,0.9333333333333333
Piper Sandler & Co.,15,14,1.0,0.7333333333333333,200000.0,False,False,0.9333333333333333
Cainiao Supply Chain U.S. Inc.,42,39,1.0,0.9523809523809523,56420.0,False,False,0.9285714285714286
Partners Group (USA) Inc.,28,26,1.0,0.6785714285714286,184625.0,False,False,0.9285714285714286
Permira Advisers LLC,14,13,1.0,0.7142857142857143,175000.0,False,False,0.9285714285714286
"adidas America, Inc.",14,13,1.0,0.2857142857142857,129371.94,False,False,0.9285714285714286
Barclays Capital Inc.,245,227,1.0,0.5836734693877551,186064.5,False,False,0.926530612244898
Mattel Sales Corp.,27,25,0.9629629629629629,0.6296296296296297,130810.5,False,False,0.9259259259259259
Bernstein Institutional Services LLC,67,62,1.0,0.9552238805970149,167500.0,False,False,0.9253731343283582
Inrika Inc,93,86,1.0,0.20430107526881722,96512.0,False,False,0.9247311827956989
"Kroll Bond Rating Agency, LLC",26,24,1.0,0.5,97500.0,False,False,0.9230769230769231
"Aprio Advisory Group, LLC",13,12,1.0,0.6923076923076923,114000.0,False,False,0.9230769230769231
GMI Cloud US Inc.,13,12,1.0,1.0,114545.5,False,False,0.9230769230769231
Industrial and Commercial Bank of China (USA) N.A.,13,12,1.0,0.6923076923076923,77459.0,False,False,0.9230769230769231
MedPOINT Management,13,12,1.0,0.8461538461538461,80000.0,False,False,0.9230769230769231
"Oak Hill Advisors, LP",13,12,1.0,0.46153846153846156,125000.0,False,False,0.9230769230769231
PwC US Tax LLP,272,251,1.0,0.4007352941176471,157000.0,False,False,0.9227941176470589
Kohlberg Kravis Roberts & Co. L.P.,51,47,1.0,0.47058823529411764,180000.0,False,False,0.9215686274509803
Acmefog Commerce Inc.,12,11,1.0,1.0,63500.0,False,False,0.9166666666666666
Archstone Builders LLC,12,11,1.0,0.5,103439.0,False,False,0.9166666666666666
"Audax Management Company, LLC",12,11,1.0,0.6666666666666666,110000.0,False,False,0.9166666666666666
"Azazie, Inc.",12,11,1.0,0.25,91634.0,False,False,0.9166666666666666
"Country View Family Farms, LLC",12,11,1.0,0.25,81038.5,False,False,0.9166666666666666
"DM Talent Holdings, LLC",12,11,0.9166666666666666,0.6666666666666666,74506.0,False,False,0.9166666666666666
Greenwood MCN,12,11,1.0,1.0,62000.0,False,False,0.9166666666666666
IM Global LLC,12,11,1.0,0.9166666666666666,55244.5,False,False,0.9166666666666666
"L'OREAL USA S/D, INC.",12,11,1.0,0.5833333333333334,187209.5,False,False,0.9166666666666666
