SOC_TITLE,filings
Fundraising Managers,24
Conservation Scientists,24
Cartographers and Photogrammetrists,23
Orthodontists,23
"Career/Technical Education Teachers, Postsecondary",23
Mechanical Engineering Technologists and Technicians,23
"Agents and Business Managers of Artists, Performers, and Athletes",23
Compensation and Benefits Managers,23
Tax Preparers,23
Fuel Cell Engineers,22
Food Service Managers,22
Data Scientist,22
"Media and Communication Workers, All Other",21
Prosthodontists,21
"Social Workers, All Other",21
Medical and Clinical Laboratory Technicians,20
"Software Developers, Systems Software",20
"Life, Physical, and Social Science Technicians, All Other",20
Veterinary Technologists and Technicians,20
Music Therapists,20
SPECIAL EFFECTS ARTISTS AND ANIMATORS,20
Surveyors,20
"Entertainment and Recreation Managers, Except Gambling",20
Digital Forensics Analysts,20
Software Quality Assurance Engineers and Testers,20
Orthotists and Prosthetists,19
School Psychologists,19
Operations Research Analyst,18
Oral and Maxillofacial Surgeons,18
Chemical Technicians,18
Penetration Testers,17
"Production Workers, All Other",17
Fire-Prevention and Protection Engineers,17
"Special Education Teachers, Preschool",17
"Computer Programmers, Non R&D",17
Online Merchants,17
Histotechnologists,16
Agricultural Technicians,16
Historians,16
Physical Medicine and Rehabilitation Physicians,16
"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",15
"Geological Technicians, Except Hydrologic Technicians",15
"Environmental Science and Protection Technicians, Including Health",15
"Computer Systems Analysts, R&D",15
"Engineering Technologists and Technicians, Except Drafters, All Other",15
Anthropologists and Archeologists,14
"Cooks, Restaurant",14
Environmental Engineering Technologists and Technicians,13
Fitness and Wellness Coordinators,13
"Library Science Teachers, Postsecondary",13
"Software Quality Assurance Analysts and Testers, Non R&D",13
Food Science Technicians,13
Credit Counselors,13
Aerospace Engineering and Operations Technologists and Technicians,13
Museum Technicians and Conservators,13
"Telecommunications Equipment Installers and Repairers, Except Line Installers",13
Dermatologists,13
Musicians and Singers,13
"Mathematical Science Occupations, All Other",12
Audiologists,12
"Career/Technical Education Teachers, Middle School",12
Recreation Workers,12
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",12
Facilities Managers,12
Medical Records Specialists,12
Community Health Workers,11
Archivists,11
"Arbitrators, Mediators, and Conciliators",11
"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",11
"Sales and Related Workers, All Other",11
Nanotechnology Engineering Technologists and Technicians,11
Clinical Nurse Specialists,11
"Educational Instruction and Library Workers, All Other",11
Transportation Inspectors,11
Advertising Sales Agents,11
"Securities, Commodities, and Financial Services Sa",11
Insurance Sales Agents,11
Executive Secretaries and Executive Administrative Assistants,10
Set and Exhibit Designers,10
Allergists and Immunologists,10
Wind Energy Engineers,10
"Religious Workers, All Other",10
Sports Medicine Physicians,9
"Forestry and Conservation Science Teachers, Postsecondary",9
"Special Education Teachers, Kindergarten",9
Radiologic Technologists and Technicians,9
Foresters,9
First-Line Supervisors of Office and Administrative Support Workers,9
"Health Technologists and Technicians, All Other",9
Residential Advisors,9
Water Resource Specialists,8
Cytogenetic Technologists,8
Preventive Medicine Physicians,8
Industrial Ecologists,8
Chief Sustainability Officers,8
Media Technical Directors/Managers,8
Medical Assistants,8
"Claims Adjusters, Examiners, and Investigators",8
Mechanical Drafters,8
"Production, Planning, and Expediting Clerks",7
"Computer Programmers, R&D",7
First-Line Supervisors of Production and Operating Workers,7
Medical Dosimetrists,7
Art Therapists,7
VIDEO GAME DESIGNERS,7
Respiratory Therapists,7
"Electrical Engineers, NonR&D",7
"Buyers and Purchasing Agents, Farm Products",7
Business Intelligence Analyst,7
Financial Quantitative Analyst,7
"Counselors, All Other",7
Security Managers,7
Legal Secretaries and Administrative Assistants,7
Customer Service Representatives,6
Speech-Language Pathology Assistants,6
Sound Engineering Technicians,6
Recreational Therapists,6
Radiation Therapists,6
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",6
Nuclear Medicine Technologists,6
Dental Hygienists,6
Forensic Science Technicians,6
"Foreign Language & Literature Teachers, Postsecondary",6
Construction and Building Inspectors,6
First-Line Supervisors of Retail Sales Workers,6
Pharmacist,6
Cytotechnologists,6
Computer Systems Analyst,6
Labor Relations Specialists,6
Electrical Engineer,5
DATA WAREHOUSING SPECIALISTS,5
Industrial Machinery Mechanics,5
Intelligence Analysts,5
Automotive Service Technicians and Mechanics,5
Precision Agriculture Technicians,5
Registered Nurse,5
Environmental Compliance Inspectors,5
Wind Energy Development Managers,5
Exercise Trainers and Group Fitness Instructors,5
Molecular & Cellular Biologists,5
"Computer Network Architects, Non R&D",5
Electro-Mechanical and Mechatronics Technologists and Technicians,5
Patient Representatives,5
"Artists and Related Workers, All Other",5
"Therapists, All Other",5
Emergency Medicine Physician,5
Medical Secretaries and Administrative Assistants,5
"Financial Clerks, All Other",5
"Media and Communication Equipment Workers, All Other",5
Project Management Specialist,5
"Fine Artists, Including Painters, Sculptors, and Illustrators",5
Computer & Information Research Scientists,4
Media Programming Directors,4
Environmental Restoration Planners,4
Radio Frequency Identification Device Specialists,4
Anesthesiologist Assistants,4
"Computer Network Architects, R&D",4
Surveying and Mapping Technicians,4
Regulatory Affairs Specialist,4
Robotics Technicians,4
Talent Directors,4
"First-Line Supervisors of Farming, Fishing, and Forestry Workers",4
Range Managers,4
Photographers,4
Electricians,4
Financial & Investment Analysts,4
"Physicians, All other",4
ComputerSystemsEngineers/Architects,4
CONSTRUCTION MANAGERS,4
"Office and Administrative Support Workers, All Other",4
Functional Consultant,4
"Farmworkers, Farm, Ranch, and Aquacultural Animals",4
Packaging and Filling Machine Operators and Tenders,4
Physical Therapist Assistants,4
Appraisers and Assessors of Real Estate,4
"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",4
DATA SCIENTISTS,4
"Personal Service Managers, All Other",4
Softwater Developers,4
"Computer Hardware Engineers, R&D",3
"Radio, Cellular, and Tower Equipment Installers and Repairers",3
Heavy and Tractor-Trailer Truck Drivers,3
"Purchasing Agents, Except Wholesale, Retail, and F",3
"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",3
"Human Resources Assistants, Except Payroll and Timekeeping",3
Computer Numerically Controlled Tool Operators,3
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",3
"First-Line Supervisors of Mechanics, Installers, and Repairers",3
Bakers,3
