PWD_SOC_TITLE,filings
Clergy,285
"Mathematical Science Teachers, Postsecondary",285
Animal Caretakers,282
First-Line Supervisors of Construction Trades and Extraction Workers,276
"Transportation, Storage, and Distribution Managers",275
Executive Secretaries and Executive Administrative Assistants,274
"Securities, Commodities, and Financial Services Sales Agents",271
Commercial and Industrial Designers,270
Computer User Support Specialists,267
"Installation, Maintenance, and Repair Workers, All Other",267
Interior Designers,257
"Economics Teachers, Postsecondary",256
"Maintenance and Repair Workers, General",252
Computer Network Support Specialists,252
Actuaries,247
"Foreign Language and Literature Teachers, Postsecondary",236
Biostatisticians,235
Purchasing Managers,224
"Software Developers, Non R&D",224
Receptionists and Information Clerks,221
Customer Service Representatives,220
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",219
Automotive Service Technicians and Mechanics,218
Electrical and Electronic Engineering Technologists and Technicians,217
Dining Room and Cafeteria Attendants and Bartender Helpers,216
Special Effects Artists and Animators,216
Biochemists and Biophysicists,213
"Airline Pilots, Copilots, and Flight Engineers",209
"Shipping, Receiving, and Inventory Clerks",207
Cement Masons and Concrete Finishers,205
Chief Executives,203
Medical and Health Services Managers,200
Credit Analysts,197
Bakers,195
Molecular and Cellular Biologists,194
First-Line Supervisors of Production and Operating Workers,194
Transportation Engineers,191
Mechanical Engineering Technologists and Technicians,184
Self-Enrichment Teachers,183
Animal Breeders,183
Bioinformatics Scientists,182
Human Resources Managers,181
"First-Line Supervisors of Mechanics, Installers, and Repairers",181
Farm Equipment Mechanics and Service Technicians,179
Training and Development Specialists,177
Veterinarians,177
"Purchasing Agents, Except Wholesale, Retail, and Farm Products",174
"Medical Scientists, Except Epidemiologists",172
"Art, Drama, and Music Teachers, Postsecondary",169
"Pediatricians, General",168
"Farmers, Ranchers, and Other Agricultural Managers",166
Logistics Engineers,164
Budget Analysts,162
Food Batchmakers,162
Treasurers and Controllers,159
Fashion Designers,157
Landscape Architects,156
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",155
Industrial Engineering Technologists and Technicians,154
Aerospace Engineers,154
Bus and Truck Mechanics and Diesel Engine Specialists,153
Food Scientists and Technologists,152
Dental Assistants,149
Telecommunications Engineering Specialists,145
Mental Health Counselors,140
Pharmacists,138
Water/Wastewater Engineers,138
Natural Sciences Managers,138
"Preschool Teachers, Except Special Education",137
"Hairdressers, Hairstylists, and Cosmetologists",137
Administrative Services Managers,136
Instructional Coordinators,136
Electrical and Electronic Equipment Assemblers,136
Environmental Engineers,129
"Welders, Cutters, Solderers, and Brazers",127
"Education Teachers, Postsecondary",124
"Cooks, Institution and Cafeteria",122
Investment Fund Managers,120
Roofers,120
"Wholesale and Retail Buyers, Except Farm Products",119
Butchers and Meat Cutters,119
"Communications Teachers, Postsecondary",118
Childcare Workers,118
Reinforcing Iron and Rebar Workers,118
Cardiologists,116
Compliance Managers,113
Medical Assistants,111
"Political Science Teachers, Postsecondary",110
Electro-Mechanical and Mechatronics Technologists and Technicians,109
Human Factors Engineers and Ergonomists,108
Packaging and Filling Machine Operators and Tenders,108
"Hotel, Motel, and Resort Desk Clerks",107
"Plumbers, Pipefitters, and Steamfitters",107
Medical Secretaries and Administrative Assistants,105
Photonics Engineers,104
First-Line Supervisors of Housekeeping and Janitorial Workers,104
Occupational Therapists,104
"Insulation Workers, Floor, Ceiling, and Wall",103
Industrial Machinery Mechanics,102
"Property, Real Estate, and Community Association Managers",101
"Psychology Teachers, Postsecondary",101
Regulatory Affairs Managers,99
Solar Energy Systems Engineers,99
Procurement Clerks,99
Social Science Research Assistants,96
"Dispatchers, Except Police, Fire, and Ambulance",96
"Educational, Guidance, and Career Counselors and Advisors",96
"Energy Engineers, Except Wind and Solar",95
"Biological Science Teachers, Postsecondary",94
Neurologists,93
Physical Therapist Assistants,93
Electricians,92
"Surgeons, All Other",90
Clinical Research Coordinators,89
"Painters, Construction and Maintenance",88
Speech-Language Pathologists,86
Jewelers and Precious Stone and Metal Workers,86
"Special Education Teachers, Elementary School",84
Quality Control Analysts,84
"Computer Systems Analysts, Non R&D",83
Compliance Officers,83
Billing and Posting Clerks,83
"Meeting, Convention, and Event Planners",83
Cabinetmakers and Bench Carpenters,83
Light Truck Drivers,82
"Software Developers, R&D",82
Psychiatrists,81
Dental Laboratory Technicians,81
Structural Metal Fabricators and Fitters,81
"Directors, Religious Activities and Education",80
"Philosophy and Religion Teachers, Postsecondary",80
"Food Servers, Nonrestaurant",79
Amusement and Recreation Attendants,79
Art Directors,78
First-Line Supervisors of Personal Service Workers,78
Personal Financial Advisors,78
"Mining and Geological Engineers, Including Mining Safety Engineers",77
Social and Community Service Managers,77
"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",77
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",75
"English Language and Literature Teachers, Postsecondary",74
Radiologists,72
"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",72
Automotive Body and Related Repairers,71
Lodging Managers,71
Advertising and Promotions Managers,71
Baristas,71
Producers and Directors,70
Interpreters and Translators,70
"Cooks, Short Order",70
"Education Administrators, Postsecondary",70
Biological Technicians,69
"Cooks, Private Household",69
Stonemasons,68
Urban and Regional Planners,67
"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",67
"Kindergarten Teachers, Except Special Education",67
Segmental Pavers,67
"Special Education Teachers, Secondary School",66
Skincare Specialists,66
"Human Resources Assistants, Except Payroll and Timekeeping",66
Video Game Designers,65
Helpers--Carpenters,64
Anesthesiologists,64
Laundry and Dry-Cleaning Workers,63
Sustainability Specialists,62
First-Line Supervisors of Non-Retail Sales Workers,62
Technical Writers,62
"Helpers--Installation, Maintenance, and Repair Workers",62
Civil Engineering Technologists and Technicians,60
Materials Scientists,60
Editors,60
"Chemistry Teachers, Postsecondary",60
"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",60
Legal Secretaries and Administrative Assistants,59
Tutors,59
Tile and Stone Setters,59
"Education and Childcare Administrators, Preschool and Daycare",59
"Helpers, Construction Trades, All Other",59
Geographic Information Systems Technologists and Technicians,58
"Recreation and Fitness Studies Teachers, Postsecondary",58
Music Directors and Composers,57
Sewing Machine Operators,57
"History Teachers, Postsecondary",57
Physicists,56
Training and Development Managers,56
"Production, Planning, and Expediting Clerks",56
"Tailors, Dressmakers, and Custom Sewers",56
"Architecture Teachers, Postsecondary",56
"News Analysts, Reporters, and Journalists",56
"Environmental Scientists and Specialists, Including Health",55
Animal Trainers,55
"Physics Teachers, Postsecondary",55
Commercial Pilots,55
Occupational Health and Safety Specialists,54
"Fraud Examiners, Investigators and Analysts",54
Transportation Planners,54
Clinical and Counseling Psychologists,53
Acupuncturists,52
Insurance Underwriters,51
Film and Video Editors,51
"Maintenance Workers, Machinery",51
Dietitians and Nutritionists,51
Public Relations Managers,50
Financial Examiners,50
Tree Trimmers and Pruners,50
"Sociology Teachers, Postsecondary",49
Soil and Plant Scientists,49
Health Education Specialists,49
Petroleum Engineers,48
"Geoscientists, Except Hydrologists and Geographers",48
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",48
Healthcare Social Workers,48
Medical Equipment Repairers,48
Driver/Sales Workers,47
Emergency Medicine Physicians,47
Order Clerks,47
"Agricultural Sciences Teachers, Postsecondary",46
File Clerks,46
"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",45
Insurance Sales Agents,45
Spa Managers,45
Tax Preparers,44
"Career/Technical Education Teachers, Postsecondary",44
Loan Officers,44
Medical and Clinical Laboratory Technicians,43
Helpers--Electricians,43
"Special Education Teachers, Middle School",43
First-Line Supervisors of Material-Moving Machine and Vehicle Operators,43
Highway Maintenance Workers,42
Operating Engineers and Other Construction Equipment Operators,42
Machinists,42
Machine Feeders and Offbearers,41
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",40
Marine Engineers and Naval Architects,40
Payroll and Timekeeping Clerks,39
"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",38
Facilities Managers,38
Cargo and Freight Agents,37
Mental Health and Substance Abuse Social Workers,37
Obstetricians and Gynecologists,37
"Health Technologists and Technicians, All Other",36
Shuttle Drivers and Chauffeurs,36
Brickmasons and Blockmasons,35
"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",34
Travel Agents,34
"Radio, Cellular, and Tower Equipment Installers and Repairers",33
"Special Education Teachers, Kindergarten",32
"Artists and Related Workers, All Other",32
"Molders, Shapers, and Casters, Except Metal and Plastic",32
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",31
"Compensation, Benefits, and Job Analysis Specialists",31
Document Management Specialists,30
Blockchain Engineers,30
Optometrists,30
School Psychologists,29
"Education Administrators, Kindergarten through Secondary",29
Exercise Trainers and Group Fitness Instructors,29
Exercise Physiologists,28
Merchandise Displayers and Window Trimmers,28
Chiropractors,28
"Food Processing Workers, All Other",28
"Electrical and Electronics Repairers, Commercial and Industrial Equipment",27
"Physicians, Pathologists",27
"Dentists, All Other Specialists",27
Choreographers,27
Mathematicians,26
Microsystems Engineers,26
Residential Advisors,26
Automotive Engineering Technicians,26
Recreation Workers,26
"Child, Family, and School Social Workers",25
Microbiologists,25
"Sewers, Hand",25
"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",25
Helpers--Roofers,25
Survey Researchers,24
Massage Therapists,24
Mechanical Drafters,24
Audio and Video Technicians,24
Dental Hygienists,23
Tool and Die Makers,23
"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",23
Fuel Cell Engineers,23
Food Science Technicians,23
"Mobile Heavy Equipment Mechanics, Except Engines",23
"Paving, Surfacing, and Tamping Equipment Operators",23
Crossing Guards and Flaggers,23
"Computer Systems Analysts, R&D",22
Fitness and Wellness Coordinators,22
Medical Records Specialists,22
Bartenders,22
"Telecommunications Equipment Installers and Repairers, Except Line Installers",22
"Postsecondary Teachers, All Other",22
Physician Assistants,21
"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",21
Orthodontists,21
Data Entry Keyers,21
Health Information Technologists and Medical Registrars,21
"Geography Teachers, Postsecondary",21
Athletic Trainers,21
Surveyors,21
Social and Human Service Assistants,21
"Rock Splitters, Quarry",21
Computer Systems Engineers/Architects,21
Home Appliance Repairers,20
Community Health Workers,20
Climate Change Policy Analysts,20
Real Estate Sales Agents,20
Nanosystems Engineers,20
"Anthropology and Archeology Teachers, Postsecondary",20
Security and Fire Alarm Systems Installers,20
Telecommunications Line Installers and Repairers,20
Bioinformatics Technicians,20
Printing Press Operators,20
Fundraising Managers,20
Pharmacy Technicians,20
"Electric Motor, Power Tool, and Related Repairers",20
Licensed Practical and Licensed Vocational Nurses,20
"Buyers and Purchasing Agents, Farm Products",19
Epidemiologists,19
Writers and Authors,19
Photographers,19
"Social Work Teachers, Postsecondary",19
"Criminal Justice and Law Enforcement Teachers, Postsecondary",19
Surveying and Mapping Technicians,19
"Cooks, All Other",19
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",18
Histotechnologists,18
"Nursing Instructors and Teachers, Postsecondary",18
Fire-Prevention and Protection Engineers,18
Electrical and Electronics Drafters,18
"Religious Workers, All Other",18
Marriage and Family Therapists,17
Geneticists,17
Agricultural Technicians,17
Advertising Sales Agents,17
"Environmental Science Teachers, Postsecondary",17
Freight Forwarders,17
Motorboat Mechanics and Service Technicians,17
Veterinary Technologists and Technicians,17
Patient Representatives,17
Compensation and Benefits Managers,16
Computer Numerically Controlled Tool Operators,16
Business Continuity Planners,16
"Inspectors, Testers, Sorters, Samplers, and Weighers",16
Upholsterers,16
"Pesticide Handlers, Sprayers, and Applicators, Vegetation",16
Insurance Claims and Policy Processing Clerks,16
Curators,16
Gambling Dealers,16
Chemical Technicians,15
"Mechanical Engineers, R&D",15
"Cutting and Slicing Machine Setters, Operators, and Tenders",15
Shampooers,15
Cytogenetic Technologists,15
Agricultural Engineers,15
"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",15
Industrial Truck and Tractor Operators,15
"Stone Cutters and Carvers, Manufacturing",15
Political Scientists,15
"Claims Adjusters, Examiners, and Investigators",15
Orderlies,15
Robotics Technicians,15
"Agents and Business Managers of Artists, Performers, and Athletes",15
Security Guards,15
Millwrights,15
"Floor Layers, Except Carpet, Wood, and Hard Tiles",15
Electrical Power-Line Installers and Repairers,15
Statistical Assistants,14
Barbers,14
Sheet Metal Workers,14
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",14
"Career/Technical Education Teachers, Secondary School",14
Fundraisers,14
Industrial-Organizational Psychologists,14
Customs Brokers,14
"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",14
"Law Teachers, Postsecondary",14
"Office and Administrative Support Workers, All Other",14
Dancers,14
"Orthopedic Surgeons, Except Pediatric",13
Recycling and Reclamation Workers,13
Set and Exhibit Designers,13
Cartographers and Photogrammetrists,13
Radiologic Technologists and Technicians,13
Gem and Diamond Workers,13
Security Management Specialists,13
Hydrologists,13
"Computer, Automated Teller, and Office Machine Repairers",13
Media Technical Directors/Managers,13
"Pressers, Textile, Garment, and Related Materials",12
Bill and Account Collectors,12
Concierges,12
Librarians and Media Collections Specialists,12
"Fine Artists, Including Painters, Sculptors, and Illustrators",12
Sound Engineering Technicians,12
Floral Designers,12
Construction and Building Inspectors,12
Telemarketers,12
Computer Numerically Controlled Tool Programmers,12
Demonstrators and Product Promoters,12
Engine and Other Machine Assemblers,12
"Pump Operators, Except Wellhead Pumpers",12
"Geological Technicians, Except Hydrologic Technicians",12
Recreational Therapists,11
"Special Education Teachers, Preschool",11
Security Managers,11
"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",11
Transportation Inspectors,11
Watch and Clock Repairers,11
Sociologists,11
Fabric and Apparel Patternmakers,11
"Coin, Vending, and Amusement Machine Servicers and Repairers",11
Urologists,11
"Electronic Equipment Installers and Repairers, Motor Vehicles",11
Environmental Compliance Inspectors,11
Audiovisual Equipment Installers and Repairers,11
"Electrical Engineers, R&D",11
Diagnostic Medical Sonographers,11
Physical Medicine and Rehabilitation Physicians,11
Medical Transcriptionists,11
Crane and Tower Operators,11
"Building Cleaning Workers, All Other",11
"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",11
"Special Education Teachers, All Other",11
"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",10
Veterinary Assistants and Laboratory Animal Caretakers,10
Penetration Testers,10
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",10
Environmental Economists,10
"Mechanical Engineers, Non-R&D",10
"Family and Consumer Sciences Teachers, Postsecondary",10
Airfield Operations Specialists,10
Information Security Engineers,10
Radio Frequency Identification Device Specialists,9
Prosthodontists,9
Archivists,9
Energy Auditors,9
Forensic Science Technicians,9
Tire Repairers and Changers,9
Calibration Technologists and Technicians,9
Recreational Vehicle Service Technicians,9
Non-Destructive Testing Specialists,9
Loan Interviewers and Clerks,9
Aerospace Engineering and Operations Technologists and Technicians,9
"Earth Drillers, Except Oil and Gas",9
Counter and Rental Clerks,9
"Electronics Engineers, Except Computer, Non-R&D",9
Cytotechnologists,9
Registered Nurses,9
"Social Sciences Teachers, Postsecondary, All Other",9
Glaziers,9
Plasterers and Stucco Masons,9
"Software Quality Assurance Analysts and Testers, Non R&D",9
"Software Quality Assurance Analysts and Testers, R&D",9
"Sawing Machine Setters, Operators, and Tenders, Wood",9
Outdoor Power Equipment and Other Small Engine Mechanics,9
"Computer Network Architects, Non R&D",9
"Biological Scientists, All Other",9
"Grinding and Polishing Workers, Hand",8
Orthotists and Prosthetists,8
Floor Sanders and Finishers,8
"Umpires, Referees, and Other Sports Officials",8
Online Merchants,8
Desktop Publishers,8
Craft Artists,8
"Camera Operators, Television, Video, and Film",8
Substance Abuse and Behavioral Disorder Counselors,8
Automotive Glass Installers and Repairers,8
"Engineering Technologists and Technicians, Except Drafters, All Other",8
"Electrical Engineers, Non-R&D",8
"Entertainment and Recreation Managers, Except Gambling",8
Audiologists,8
"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",8
Nuclear Engineers,8
"Personal Care and Service Workers, All Other",8
"Managers, All Other",8
"Production Workers, All Other",8
Etchers and Engravers,8
"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",8
"Engineers, All Other",8
"Ophthalmologists, Except Pediatric",8
"Electrical and Electronics Installers and Repairers, Transportation Equipment",8
Surgical Technologists,7
Fence Erectors,7
Oral and Maxillofacial Surgeons,7
Physical Therapist Aides,7
Furniture Finishers,7
Surgical Assistants,7
Conservation Scientists,7
Medical Dosimetrists,7
Judicial Law Clerks,7
Wind Energy Engineers,7
Environmental Engineering Technologists and Technicians,7
Musical Instrument Repairers and Tuners,7
Agricultural Inspectors,7
Motorcycle Mechanics,7
"Locker Room, Coatroom, and Dressing Room Attendants",7
Museum Technicians and Conservators,7
"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",7
"Business Operations Specialists, All Other",7
Drywall and Ceiling Tile Installers,6
"Service Unit Operators, Oil and Gas",6
Neurodiagnostic Technologists,6
"Forestry and Conservation Science Teachers, Postsecondary",6
Podiatrists,6
Respiratory Therapists,6
Speech-Language Pathology Assistants,6
Wind Energy Development Managers,6
"Computer Programmers, Non R&D",6
"Computer Network Architects, R&D",6
"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",6
Ophthalmic Medical Technicians,6
Allergists and Immunologists,6
Music Therapists,6
"Captains, Mates, and Pilots of Water Vessels",6
Photographic Process Workers and Processing Machine Operators,6
"Model Makers, Metal and Plastic",6
Farm and Home Management Educators,6
Solar Energy Installation Managers,6
"Textile Cutting Machine Setters, Operators, and Tenders",6
"Education Administrators, All Other",6
Lighting Technicians,6
Precision Agriculture Technicians,6
Dermatologists,6
Electromechanical Equipment Assemblers,6
Parts Salespersons,6
"Teachers and Instructors, All Other",6
"Title Examiners, Abstractors, and Searchers",6
Refuse and Recyclable Material Collectors,6
"Library Science Teachers, Postsecondary",6
Reservation and Transportation Ticket Agents and Travel Clerks,6
Ship Engineers,5
Carpet Installers,5
Astronomers,5
Naturopathic Physicians,5
New Accounts Clerks,5
Septic Tank Servicers and Sewer Pipe Cleaners,5
Fiberglass Laminators and Fabricators,5
Structural Iron and Steel Workers,5
Tellers,5
Mechanical Door Repairers,5
Pharmacy Aides,5
Photonics Technicians,5
"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",5
"Arbitrators, Mediators, and Conciliators",5
"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",5
"Derrick Operators, Oil and Gas",5
Occupational Health and Safety Technicians,5
"Glass Blowers, Molders, Benders, and Finishers",5
"Rotary Drill Operators, Oil and Gas",5
Nanotechnology Engineering Technologists and Technicians,5
Phlebotomists,5
Paramedics,5
"Financial Specialists, All Other",5
Appraisers and Assessors of Real Estate,5
"Teaching Assistants, Postsecondary",5
Fishing and Hunting Workers,5
"Career/Technical Education Teachers, Middle School",4
Elevator and Escalator Installers and Repairers,4
Digital Forensics Analysts,4
Travel Guides,4
Automotive and Watercraft Service Attendants,4
"Community and Social Service Specialists, All Other",4
Avionics Technicians,4
Equal Opportunity Representatives and Officers,4
Remote Sensing Scientists and Technologists,4
"Personal Service Managers, All Other",4
"Electronics Engineers, Except Computer, R&D",4
Broadcast Announcers and Radio Disc Jockeys,4
Pipelayers,4
Psychiatric Technicians,4
"Healthcare Practitioners and Technical Workers, All Other",4
Emergency Management Directors,4
Medical Equipment Preparers,4
"Disc Jockeys, Except Radio",4
"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",4
"Teaching Assistants, All Other",4
Commercial Divers,4
Intelligence Analysts,4
Genetic Counselors,4
Physical Therapists,4
"Insulation Workers, Mechanical",4
"Opticians, Dispensing",4
Aviation Inspectors,4
Musicians and Singers,4
Solar Photovoltaic Installers,3
Food Cooking Machine Operators and Tenders,3
Pediatric Surgeons,3
Riggers,3
Shoe and Leather Workers and Repairers,3
Correspondence Clerks,3
Print Binding and Finishing Workers,3
Costume Attendants,3
Neuropsychologists,3
"Environmental Science and Protection Technicians, Including Health",3
Prepress Technicians and Workers,3
"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",3
"Mail Clerks and Mail Machine Operators, Except Postal Service",3
"Court, Municipal, and License Clerks",3
Helpers--Extraction Workers,3
"Sales and Related Workers, All Other",3
Art Therapists,3
Cardiovascular Technologists and Technicians,3
Tour Guides and Escorts,3
Proofreaders and Copy Markers,3
Geodetic Surveyors,3
Chief Sustainability Officers,3
Traffic Technicians,3
"Insurance Appraisers, Auto Damage",3
"Assemblers and Fabricators, All Other",3
Weatherization Installers and Technicians,3
"Social Workers, All Other",3
Pest Control Workers,3
Hazardous Materials Removal Workers,3
Sailors and Marine Oilers,3
"First-Line Supervisors of Transportation Workers, All Other",3
Locksmiths and Safe Repairers,3
Media Programming Directors,3
"Credit Authorizers, Checkers, and Clerks",3
Gas Compressor and Gas Pumping Station Operators,3
Information Technology Project Managers,3
"Healthcare Diagnosing or Treating Practitioners, All Other",2
"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation",2
Atmospheric and Space Scientists,2
Preventive Medicine Physicians,2
Dietetic Technicians,2
Actors,2
Radiation Therapists,2
Medical Appliance Technicians,2
Paperhangers,2
Ophthalmic Medical Technologists,2
Chemical Equipment Operators and Tenders,2
Biologists,2
Nuclear Medicine Technologists,2
"Civil Engineers, Non-R&D",2
"Cutters and Trimmers, Hand",2
Loss Prevention Managers,2
Farm Labor Contractors,2
Industrial Ecologists,2
"Patternmakers, Wood",2
"Entertainers and Performers, Sports and Related Workers, All Other",2
Clinical Neuropsychologists,2
"Morticians, Undertakers, and Funeral Arrangers",2
Anthropologists and Archeologists,2
Foresters,2
"Food Preparation and Serving Related Workers, All Other",2
Wind Energy Operations Managers,2
Couriers and Messengers,2
"Painting, Coating, and Decorating Workers",2
"Interviewers, Except Eligibility and Loan",2
"Model Makers, Wood",2
Credit Counselors,2
Firefighters,2
"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",2
Probation Officers and Correctional Treatment Specialists,2
"Media and Communication Workers, All Other",2
Biofuels Production Managers,2
"Legal Support Workers, All Other",2
Bicycle Repairers,2
Flight Attendants,2
"Textile, Apparel, and Furnishings Workers, All Other",2
Brokerage Clerks,2
"Bus Drivers, School",2
Anesthesiologist Assistants,2
Private Detectives and Investigators,2
"Tax Examiners and Collectors, and Revenue Agents",2
"Drafters, All Other",2
"Tank Car, Truck, and Ship Loaders",1
"Construction and Related Workers, All Other",1
"Social Scientists and Related Workers, All Other",1
"Life, Physical, and Social Science Technicians, All Other",1
Environmental Restoration Planners,1
"Counselors, All Other",1
"Coil Winders, Tapers, and Finishers",1
Endoscopy Technicians,1
Government Property Inspectors and Investigators,1
Talent Directors,1
"Layout Workers, Metal and Plastic",1
Zoologists and Wildlife Biologists,1
Camera and Photographic Equipment Repairers,1
Aircraft Cargo Handling Supervisors,1
Wind Turbine Service Technicians,1
"Civil Engineers, R&D",1
"Teaching Assistants, Special Education",1
Water and Wastewater Treatment Plant and System Operators,1
"Computer Programmers, R&D",1
"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",1
Geothermal Production Managers,1
Water Resource Specialists,1
"Makeup Artists, Theatrical and Performance",1
"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",1
Gas Plant Operators,1
"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",1
Crematory Operators,1
Aircraft Service Attendants,1
Word Processors and Typists,1
Fire Inspectors and Investigators,1
Appraisers of Personal and Business Property,1
Broadcast Technicians,1
"Excavating and Loading Machine and Dragline Operators, Surface Mining",1
Coroners,1
"Precision Instrument and Equipment Repairers, All Other",1
Foundry Mold and Coremakers,1
Forest and Conservation Workers,1
Histology Technicians,1
Magnetic Resonance Imaging Technologists,1
First-Line Supervisors of Security Workers,1
Athletes and Sports Competitors,1
"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",1
"Information and Record Clerks, All Other",1
Power Plant Operators,1
